STATE TOTAL:,"11,309 20,849 32,158",
,"STATE SENATOR, DISTRICT 31",
,"General Election — November 2, 2004",
,CRAIG DON TOTAL,
,HALE (D) BARRINGTON (R) VOTES,
,========== ================ =======,
COMANCHE,"5,611 7,134 12,745",
COTTON,"1,319 1,222 2,541",
GRADY,"1,033 1,113 2,146",
JEFFERSON,"1,427 1,068 2,495",
STEPHENS,"1,920 2,457 4,377",
STATE TOTAL:,"11,310 12,994 24,304",
,"STATE SENATOR, DISTRICT 32",
,"General Election — November 2, 2004",
,RANDY KENNETH E. TOTAL,
,BASS (D) EASTON (R) VOTES,
,========== ============ =======,
COMANCHE,"9,854 9,803 19,657",
STATE TOTAL:,"9,854 9,803 19,657",
,"STATE SENATOR, DISTRICT 33",
,"General Election — November 2, 2004",
,TOM DEWEY F.,TOTAL
,ADELSON (D) BARTLETT (R),VOTES
,============= ===================,=======
TULSA,"15,836 14,926","30,762"
STATE TOTAL:,"15,836 14,926","30,762"
,"STATE SENATOR, DISTRICT 37",
,"General Election — November 2, 2004",
,DAN NANCY,TOTAL
,GIDDENS (D) RILEY (R),VOTES
,============= ===========,=======
TULSA,"11,847 22,327","34,174"
STATE TOTAL:,"11,847 22,327","34,174"
,"STATE SENATOR, DISTRICT 39",
,"General Election — November 2, 2004",
,BRIAN A. MICHAEL A.,TOTAL
,CRAIN (R) SHIFLET (I),VOTES
,=========== =============,=======
TULSA,"20,565 6,856","27,421"
STATE TOTAL:,"20,565 6,856","27,421"
,"STATE SENATOR, DISTRICT 41",
,"General Election — November 2, 2004",
,JAMES H. CLARK TOTAL,
,BUXTON (D) JOLLEY (R) VOTES,
,============ ============ =======,
LOGAN,"1,460 3,196 4,656",
OKLAHOMA,"10,318 23,321 33,639",
STATE TOTAL:,"11,778 26,517 38,295",
,"STATE SENATOR, DISTRICT 43",
,"General Election — November 2, 2004",
,SCOTT JIM TOTAL,
,INMAN (D) REYNOLDS (R) VOTES,
,=========== ============== =======,
CLEVELAND,"3,273 6,912 10,185",
OKLAHOMA,"8,371 8,363 16,734",
STATE TOTAL:,"11,644 15,275 26,919",
,"STATE SENATOR, DISTRICT 47",
,"General Election — November 2, 2004",
,ADAM E. TODD TOTAL,
,MILLER (D) LAMB (R) VOTES,
,============ ========== =======,
OKLAHOMA,"10,403 25,918 36,321",
STATE TOTAL:,"10,403 25,918 36,321",
